,model,n_features,outliers,n_splits,mae,mse,r2_score
217,Ridge,13,yes,4,0.8063461292860352,16.66281047352444,-16.66281047352444
218,GradientBoostingRegressor,8,yes,4,0.7929215569758563,16.590415996373643,-16.590415996373643
219,GradientBoostingRegressor,8,no,4,0.7929215569758563,16.590415996373643,-16.590415996373643
220,Ridge,5,no,4,0.802825979838113,15.842848420601957,-15.842848420601957
221,Ridge,5,yes,4,0.802825979838113,15.842848420601957,-15.842848420601957
222,Ridge,7,no,4,0.8138443147721681,15.796281087411325,-15.796281087411325
223,Ridge,7,yes,4,0.8138443147721681,15.796281087411325,-15.796281087411325
224,LinearRegression,12,no,5,0.7857228426241114,15.7623829787459,-15.7623829787459
225,LinearRegression,12,yes,5,0.7857228426241114,15.7623829787459,-15.7623829787459
226,DecisionTreeRegressor,9,yes,5,0.8478887063569523,15.602048007734965,-15.602048007734965
227,DecisionTreeRegressor,9,no,5,0.8478887063569523,15.602048007734965,-15.602048007734965
228,GradientBoostingRegressor,11,yes,5,0.7978107074580133,15.41766789618573,-15.41766789618573
229,GradientBoostingRegressor,11,no,5,0.7978107074580133,15.41766789618573,-15.41766789618573
230,GradientBoostingRegressor,12,yes,5,0.8099267032186862,15.321819285909498,-15.321819285909498
231,GradientBoostingRegressor,12,no,5,0.8099267032186862,15.321819285909498,-15.321819285909498
232,GradientBoostingRegressor,10,yes,5,0.7830033075775165,15.243241800774802,-15.243241800774802
233,GradientBoostingRegressor,10,no,5,0.7830033075775165,15.243241800774802,-15.243241800774802
234,LinearRegression,13,yes,5,0.7838027378242931,15.18826742679138,-15.18826742679138
235,LinearRegression,13,no,5,0.7838027378242931,15.18826742679138,-15.18826742679138
236,Pipeline,6,yes,2,2.4654773622982185,15.15298071991947,-15.15298071991947
237,Pipeline,6,no,2,2.4654773622982185,15.15298071991947,-15.15298071991947
238,Ridge,6,yes,4,0.8036436054766021,15.11240984368213,-15.11240984368213
239,Ridge,6,no,4,0.8036436054766021,15.11240984368213,-15.11240984368213
240,DecisionTreeRegressor,5,yes,5,0.7828089019633285,14.892157340096421,-14.892157340096421
241,DecisionTreeRegressor,5,no,5,0.7828089019633285,14.892157340096421,-14.892157340096421
242,DecisionTreeRegressor,8,no,5,0.7910265438970961,14.891057432645587,-14.891057432645587
243,DecisionTreeRegressor,8,yes,5,0.7910265438970961,14.891057432645587,-14.891057432645587
244,GradientBoostingRegressor,5,no,5,0.7736095369500313,14.834964856555018,-14.834964856555018
245,GradientBoostingRegressor,5,yes,5,0.7736095369500313,14.834964856555018,-14.834964856555018
246,Ridge,10,yes,4,0.8124375265632244,14.377815412448014,-14.377815412448014
247,Ridge,10,no,4,0.8124375265632244,14.377815412448014,-14.377815412448014
248,Ridge,11,no,4,0.8076021297740773,14.02920346118431,-14.02920346118431
249,Ridge,11,yes,4,0.8076021297740773,14.02920346118431,-14.02920346118431
250,GradientBoostingRegressor,9,no,5,0.8163559301238725,14.00888584595543,-14.00888584595543
251,GradientBoostingRegressor,9,yes,5,0.8163559301238725,14.00888584595543,-14.00888584595543
252,DecisionTreeRegressor,7,no,4,0.7237124603394878,13.856258302747518,-13.856258302747518
253,DecisionTreeRegressor,7,yes,4,0.7237124603394878,13.856258302747518,-13.856258302747518
254,DecisionTreeRegressor,6,no,4,0.7191393241550057,13.80259717304498,-13.80259717304498
255,DecisionTreeRegressor,6,yes,4,0.7191393241550057,13.80259717304498,-13.80259717304498
256,GradientBoostingRegressor,8,yes,5,0.7965331160013052,13.689361482189824,-13.689361482189824
257,GradientBoostingRegressor,8,no,5,0.7965331160013052,13.689361482189824,-13.689361482189824
258,LGBMRegressor,7,no,4,0.8057394186263409,13.576919298563693,-13.576919298563693
259,LGBMRegressor,7,yes,4,0.8057394186263409,13.576919298563693,-13.576919298563693
260,Lasso,3,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
261,Lasso,10,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
262,Lasso,14,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
263,Lasso,13,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
264,Lasso,11,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
265,Lasso,11,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
266,Lasso,2,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
267,Lasso,12,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
268,Lasso,13,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
269,Lasso,10,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
270,Lasso,2,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
271,Lasso,9,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
272,Lasso,15,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
273,Lasso,5,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
274,Lasso,9,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
275,Lasso,15,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
276,Lasso,8,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
277,Lasso,8,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
278,Lasso,7,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
279,Lasso,3,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
280,Lasso,5,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
281,Lasso,7,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
282,Lasso,6,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
283,Lasso,4,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
284,Lasso,6,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
285,Lasso,14,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
286,Lasso,4,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
287,Lasso,12,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
288,ElasticNet,9,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
289,ElasticNet,13,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
290,ElasticNet,2,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
291,ElasticNet,12,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
292,ElasticNet,12,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
293,ElasticNet,11,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
294,ElasticNet,3,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
295,ElasticNet,3,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
296,ElasticNet,10,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
297,ElasticNet,4,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
298,ElasticNet,2,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
299,ElasticNet,10,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
300,ElasticNet,9,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
301,ElasticNet,5,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
302,ElasticNet,8,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
303,ElasticNet,5,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
304,ElasticNet,8,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
305,ElasticNet,7,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
306,ElasticNet,6,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
307,ElasticNet,7,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
308,ElasticNet,6,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
309,ElasticNet,4,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
310,ElasticNet,13,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
311,ElasticNet,11,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
312,ElasticNet,15,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
313,ElasticNet,14,no,4,0.7961537188127921,13.173309020047286,-13.173309020047286
314,ElasticNet,14,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
315,ElasticNet,15,yes,4,0.7961537188127921,13.173309020047286,-13.173309020047286
316,RandomForestRegressor,5,no,5,0.7766003943746789,12.441936954633965,-12.441936954633965
317,RandomForestRegressor,5,yes,5,0.7766003943746789,12.441936954633965,-12.441936954633965
