model,n_features,n_splits,scorer,outliers,scores
LinearRegression,13,3,mae,no,[-0.59848354 -1.2393858  -1.64677945]
LinearRegression,13,3,mse,yes,[7.93126927e-01 2.95310350e-01 1.14608842e+04]
LinearRegression,13,3,mse,no,[0.51355559 0.28639045 8.10945071]
LinearRegression,14,3,r2_score,yes,[-7.88549447e-01 -3.23625498e-01 -1.13066835e+04]
LinearRegression,14,3,r2_score,no,[-0.51355559 -0.28639045 -8.10945071]
LinearRegression,14,3,mae,yes,[-0.79791093 -1.28069314 -2.53603266]
LinearRegression,14,3,mae,no,[-0.59848354 -1.2393858  -1.64677945]
LinearRegression,14,3,mse,yes,[7.88549447e-01 3.23625498e-01 1.13066835e+04]
LinearRegression,14,3,mse,no,[0.51355559 0.28639045 8.10945071]
LinearRegression,15,3,r2_score,yes,[-8.77784097e-01 -2.58773982e-01 -1.58501297e+04]
LinearRegression,15,3,r2_score,no,[-0.51355559 -0.2214477  -4.27869321]
LinearRegression,15,3,mae,yes,[-0.81101097 -1.27779581 -2.46159857]
LinearRegression,15,3,mae,no,[-0.59848354 -1.2240329  -1.19135532]
LinearRegression,15,3,mse,yes,[8.77784097e-01 2.58773982e-01 1.58501297e+04]
LinearRegression,15,3,mse,no,[0.51355559 0.2214477  4.27869321]
LinearRegression,2,4,r2_score,yes,[-2.78083547e-01  3.76701207e-04 -4.04741442e-01 -2.31174084e+02]
LinearRegression,2,4,r2_score,no,[-3.17636010e-01 -1.06971598e-01 -8.30332301e-01 -3.34567088e+02]
LinearRegression,2,4,mae,yes,[-0.60229634 -0.57787141 -1.39653529 -0.62206125]
LinearRegression,2,4,mae,no,[-0.55315683 -0.43187652 -1.60888582 -0.74815809]
LinearRegression,2,4,mse,yes,[ 2.78083547e-01 -3.76701207e-04  4.04741442e-01  2.31174084e+02]
LinearRegression,2,4,mse,no,[3.17636010e-01 1.06971598e-01 8.30332301e-01 3.34567088e+02]
LinearRegression,3,4,r2_score,yes,[-2.73009022e-01  3.92070353e-03 -4.10955065e-01 -7.68064894e+02]
LinearRegression,3,4,r2_score,no,[-2.98240961e-01 -1.85847927e-01 -8.27272109e-01 -7.48866183e+02]
LinearRegression,3,4,mae,yes,[-0.60548862 -0.57058416 -1.34153409 -0.6207781 ]
LinearRegression,3,4,mae,no,[-0.55182062 -0.45440114 -1.60936918 -1.12200523]
LinearRegression,3,4,mse,yes,[ 2.73009022e-01 -3.92070353e-03  4.10955065e-01  7.68064894e+02]
LinearRegression,3,4,mse,no,[2.98240961e-01 1.85847927e-01 8.27272109e-01 7.48866183e+02]
LinearRegression,4,4,r2_score,yes,[-7.41133290e-01 -3.51562518e-02 -3.99201382e-01 -5.45980789e+02]
LinearRegression,4,4,r2_score,no,[-2.71358526e-01 -2.35893791e-01 -8.23404854e-01 -7.92344692e+02]
LinearRegression,4,4,mae,yes,[-0.67024559 -0.59319418 -1.35142348 -0.60796461]
LinearRegression,4,4,mae,no,[-0.54537553 -0.46137435 -1.63453605 -1.15150005]
LinearRegression,4,4,mse,yes,[7.41133290e-01 3.51562518e-02 3.99201382e-01 5.45980789e+02]
LinearRegression,4,4,mse,no,[2.71358526e-01 2.35893791e-01 8.23404854e-01 7.92344692e+02]
LinearRegression,5,4,r2_score,yes,[-7.61860769e-01 -2.90830080e-02 -4.50058606e-01 -7.54958409e+02]
LinearRegression,5,4,r2_score,no,[-2.73193104e-01 -2.28689771e-01 -8.11479168e-01 -8.83842682e+02]
LinearRegression,5,4,mae,yes,[-0.67074974 -0.58327599 -1.39957006 -0.69799554]
LinearRegression,5,4,mae,no,[-0.54389754 -0.45964301 -1.63077337 -1.21316256]
LinearRegression,5,4,mse,yes,[7.61860769e-01 2.90830080e-02 4.50058606e-01 7.54958409e+02]
LinearRegression,5,4,mse,no,[2.73193104e-01 2.28689771e-01 8.11479168e-01 8.83842682e+02]
LinearRegression,6,4,r2_score,yes,[-1.09105542e+00 -1.38442349e-02 -5.26618619e-01 -3.71870436e+03]
LinearRegression,6,4,r2_score,no,[-3.85175706e-01 -2.81875882e-01 -8.48582123e-01 -1.07324925e+03]
LinearRegression,6,4,mae,yes,[-0.7179685  -0.5647684  -1.41960881 -1.24109831]
LinearRegression,6,4,mae,no,[-0.53624885 -0.47588318 -1.6461804  -1.32907211]
LinearRegression,6,4,mse,yes,[1.09105542e+00 1.38442349e-02 5.26618619e-01 3.71870436e+03]
LinearRegression,6,4,mse,no,[3.85175706e-01 2.81875882e-01 8.48582123e-01 1.07324925e+03]
LinearRegression,7,4,r2_score,yes,[-1.35712987e+00 -1.63969533e-02 -5.27198738e-01 -3.70325349e+03]
LinearRegression,7,4,r2_score,no,[-8.36328004e-01 -2.61885429e-01 -8.50801625e-01 -1.09904988e+03]
LinearRegression,7,4,mae,yes,[-0.8738046  -0.56561041 -1.42990212 -1.23896649]
LinearRegression,7,4,mae,no,[-0.68476699 -0.46101677 -1.63455584 -1.3439991 ]
LinearRegression,7,4,mse,yes,[1.35712987e+00 1.63969533e-02 5.27198738e-01 3.70325349e+03]
LinearRegression,7,4,mse,no,[8.36328004e-01 2.61885429e-01 8.50801625e-01 1.09904988e+03]
LinearRegression,8,4,r2_score,yes,[-1.27238772e+00 -2.81870139e-01 -5.29637767e-01 -3.78179478e+03]
LinearRegression,8,4,r2_score,no,[-5.62018819e-01 -4.60499466e-01 -8.38585151e-01 -9.55706541e+02]
LinearRegression,8,4,mae,yes,[-0.79628653 -0.5877894  -1.44406829 -1.23281724]
LinearRegression,8,4,mae,no,[-0.59959291 -0.46648472 -1.63230429 -1.24851209]
LinearRegression,8,4,mse,yes,[1.27238772e+00 2.81870139e-01 5.29637767e-01 3.78179478e+03]
LinearRegression,8,4,mse,no,[5.62018819e-01 4.60499466e-01 8.38585151e-01 9.55706541e+02]
LinearRegression,9,4,r2_score,yes,[-1.39791356e+00 -2.50280938e-01 -5.10452017e-01 -1.51242520e+04]
LinearRegression,9,4,r2_score,no,[-7.08385172e-01 -4.71273270e-01 -8.16944300e-01 -1.34097242e+03]
LinearRegression,9,4,mae,yes,[-0.81020707 -0.60159582 -1.43975199 -2.72914089]
LinearRegression,9,4,mae,no,[-0.61502124 -0.48776896 -1.61655049 -1.29787712]
LinearRegression,9,4,mse,yes,[1.39791356e+00 2.50280938e-01 5.10452017e-01 1.51242520e+04]
LinearRegression,9,4,mse,no,[7.08385172e-01 4.71273270e-01 8.16944300e-01 1.34097242e+03]
LinearRegression,10,4,r2_score,yes,[-2.68066150e+00 -8.15265832e-02 -4.51703683e-01 -1.73800513e+04]
LinearRegression,10,4,r2_score,no,[-4.14957306e-01 -6.23694509e-01 -7.92678840e-01 -1.05927590e+03]
LinearRegression,10,4,mae,yes,[-0.91910711 -0.5723114  -1.39471062 -2.86439052]
LinearRegression,10,4,mae,no,[-0.56936265 -0.50592382 -1.60216592 -1.09296919]
LinearRegression,10,4,mse,yes,[2.68066150e+00 8.15265832e-02 4.51703683e-01 1.73800513e+04]
LinearRegression,10,4,mse,no,[4.14957306e-01 6.23694509e-01 7.92678840e-01 1.05927590e+03]
LinearRegression,11,4,r2_score,yes,[-2.46675972e+00 -2.40324172e-01 -4.29841714e-01 -1.15304214e+04]
LinearRegression,11,4,r2_score,no,[-4.35596958e-01 -9.37909301e-01 -7.90316881e-01 -8.97073235e+02]
LinearRegression,11,4,mae,yes,[-0.90394435 -0.60051089 -1.37014243 -2.23723154]
LinearRegression,11,4,mae,no,[-0.56542404 -0.52066827 -1.60246255 -1.03792045]
LinearRegression,11,4,mse,yes,[2.46675972e+00 2.40324172e-01 4.29841714e-01 1.15304214e+04]
LinearRegression,11,4,mse,no,[4.35596958e-01 9.37909301e-01 7.90316881e-01 8.97073235e+02]
LinearRegression,12,4,r2_score,yes,[-8.06504593e-01 -4.57949323e-01 -4.37080325e-01 -1.17996003e+04]
LinearRegression,12,4,r2_score,no,[-3.10858627e-01 -7.53650111e-01 -7.51245336e-01 -7.78694346e+02]
LinearRegression,12,4,mae,yes,[-0.71031193 -0.6137329  -1.37266359 -2.26415057]
LinearRegression,12,4,mae,no,[-0.54538363 -0.46133913 -1.60196752 -1.04843961]
LinearRegression,12,4,mse,yes,[8.06504593e-01 4.57949323e-01 4.37080325e-01 1.17996003e+04]
LinearRegression,12,4,mse,no,[3.10858627e-01 7.53650111e-01 7.51245336e-01 7.78694346e+02]
LinearRegression,13,4,r2_score,yes,[-8.06174332e-01 -4.53472995e-01 -4.53908661e-01 -1.13544969e+04]
LinearRegression,13,4,r2_score,no,[-3.54862127e-01 -7.67066043e-01 -7.52750195e-01 -6.48741331e+02]
LinearRegression,13,4,mae,yes,[-0.70024188 -0.61063135 -1.3813196  -2.20478177]
LinearRegression,13,4,mae,no,[-0.56258605 -0.47178697 -1.59334636 -0.97780634]
LinearRegression,13,4,mse,yes,[8.06174332e-01 4.53472995e-01 4.53908661e-01 1.13544969e+04]
LinearRegression,13,4,mse,no,[3.54862127e-01 7.67066043e-01 7.52750195e-01 6.48741331e+02]
LinearRegression,14,4,r2_score,yes,[-7.81853025e-01 -7.21515186e-01 -4.62635518e-01 -1.12195231e+04]
LinearRegression,14,4,r2_score,no,[-3.54862127e-01 -7.67066043e-01 -7.52750195e-01 -6.48741331e+02]
LinearRegression,14,4,mae,yes,[-0.69291156 -0.63637302 -1.38740129 -2.19092488]
LinearRegression,14,4,mae,no,[-0.56258605 -0.47178697 -1.59334636 -0.97780634]
LinearRegression,14,4,mse,yes,[7.81853025e-01 7.21515186e-01 4.62635518e-01 1.12195231e+04]
LinearRegression,14,4,mse,no,[3.54862127e-01 7.67066043e-01 7.52750195e-01 6.48741331e+02]
LinearRegression,15,4,r2_score,yes,[-7.81853025e-01 -1.04115088e+00 -4.00109253e-01 -1.49882214e+04]
LinearRegression,15,4,r2_score,no,[  -0.35486213   -1.0693748    -0.69558695 -208.7607653 ]
LinearRegression,15,4,mae,yes,[-0.69291156 -0.82356598 -1.3523345  -2.00402932]
LinearRegression,15,4,mae,no,[-0.56258605 -0.60674135 -1.57248331 -0.52022897]
LinearRegression,15,4,mse,yes,[7.81853025e-01 1.04115088e+00 4.00109253e-01 1.49882214e+04]
